CODE,AGE,TOTAL,WHITE,BLACK,ASIAN,HISPANIC
T1,"Total, 16 years and over",6.5,5.8,9.9,6.7,8.7
A,16 to 19 years,13.5,12.7,19.6,6.5,15.9
a1,16 to 17 years,12.5,12,16.7,6.7,16.4
a2,18 to 19 years,14.1,13,21.3,8.3,15.7
T2,20 years and over,6.2,5.5,9.6,6.7,8.3
B,20 to 24 years,10.3,8.8,16,11.3,10.6
T3,25 years and over,5.8,5.2,8.8,6.3,8
C,25 to 54 years,5.9,5.2,9.1,5.9,7.9
c1,25 to 34 years,6.8,5.9,11.1,6.2,9.2
c2,35 to 44 years,5.5,5,8.2,4.6,7.2
c3,45 to 54 years,5.4,4.8,7.3,7.1,7
T4,55 years and over,5.6,5,7.9,7.9,8.3
D,55 to 64 years,5.6,5.1,7.4,8.1,8.6
T5,65 years and over,5.5,5,9.4,7.1,7.4
