CODE,AGE,TOTAL,WHITE,BLACK,ASIAN,HISPANIC
T1,"Women, 16 years and over",6.3,5.5,8.9,7.4,8.8
A,16 to 19 years,12.6,11.5,18.2,7,14.3
a1,16 to 17 years,11.1,10.4,15.3,7,17.6
a2,18 to 19 years,13.4,12.2,20,8.7,12.9
T2,20 years and over,6.1,5.3,8.6,7.4,8.5
B,20 to 24 years,9.3,7.7,14,11.8,9.8
T3,25 years and over,5.7,5,8,7,8.3
C,25 to 54 years,5.7,5,8.3,7,8.2
c1,25 to 34 years,6.4,5.5,9.7,7.5,9.5
c2,35 to 44 years,5.4,4.7,7.2,6.9,7.4
c3,45 to 54 years,5.4,4.7,7.8,6.4,7.4
T4,55 years and over,5.6,5.2,7,7.1,9
D,55 to 64 years,5.5,5.1,6.7,6.5,9.4
T5,65 years and over,6,5.4,7.8,8.7,7.8
